408,Thurn and Taxis,2 a 4 jogadores 
409,Clank! In! Space!: A Deck-Building Adventure,2 a 4 jogadores 
410,Dungeon Saga: A Busca do Rei Anão,2 a 5 jogadores 
411,Barony,2 a 4 jogadores 
412,Shadows Over Camelot,3 a 7 jogadores 
413,New York 1901,2 a 4 jogadores 
414,Bang! The Dice Game,3 a 8 jogadores 
415,Dungeons & Dragons: Castle Ravenloft Board Game,2 a 4 jogadores 
416,Chaparral,2 a 4 jogadores 
417,Targi,2 jogadores 
418,Dungeons & Dragons,2 a 8 jogadores 
419,The Name of the Rose,2 a 5 jogadores 
420,Alhambra: Edição Revisada,2 a 6 jogadores 
421,Carpe Diem,2 a 4 jogadores 
422,1920 Wall Street,2 a 5 jogadores 
423,Friday,1 jogadores 
424,O Exterminador do Futuro: Gênesis ,1 a 4 jogadores 
425,Tekhenu: Obelisco do Sol,1 a 4 jogadores 
426,Legendary: A Marvel Deck Building Game,1 a 5 jogadores 
427,Notre Dame,2 a 5 jogadores 
428,Camisa 12,1 a 2 jogadores 
429,Caçadores da Galáxia,2 a 4 jogadores 
430,Pathfinder - O Jogo de Aventuras,1 a 4 jogadores 
431,Room 25,1 a 6 jogadores 
432,Código Secreto: Dueto,2 jogadores 
433,Dobble: Harry Potter,2 a 8 jogadores 
434,LHAMA,2 a 6 jogadores 
435,Chicago Express,2 a 6 jogadores 
436,Imperial,2 a 6 jogadores 
437,Ticket to Ride: New York,2 a 4 jogadores 
438,Rá,2 a 5 jogadores 
439,Ishtar: Gardens of Babylon,2 a 4 jogadores 
440,High Society,3 a 5 jogadores 
441,Viticulture,2 a 6 jogadores 
442,Ricardo Coração de Leão,2 a 6 jogadores 
443,Porta Nigra,2 a 4 jogadores 
444,Conan,2 a 5 jogadores 
445,Carcassonne: Edição do 20° Aniversário,2 a 5 jogadores 
446,Stuffed Fables,2 a 4 jogadores 
447,Elder Sign,1 a 8 jogadores 
448,Jamaica,2 a 6 jogadores 
449,The Princes of Florence,2 a 5 jogadores 
450,Discoveries: The Journals of Lewis & Clark,2 a 4 jogadores 
451,Ascension: Chronicle of the Godslayer,2 a 4 jogadores 
452,Res Arcana,2 a 4 jogadores 
453,Prehistory,2 a 4 jogadores 
454,Ghost Stories,1 a 4 jogadores 
455,Red7,2 a 4 jogadores 
456,Pets,2 a 5 jogadores 
457,Gold West,2 a 5 jogadores 
458,The Grimm Forest,2 a 4 jogadores 
459,Telma – 2ª edição,4 a 8 jogadores 
460,Bandido,1 a 4 jogadores 
461,Tao Long: O Caminho do Dragão,2 jogadores 
462,Myrmes,2 a 4 jogadores 
463,Legendary Encounters: An Alien Deck Building Game,1 a 5 jogadores 
464,Seasons,2 a 4 jogadores 
465,Whistle Stop,2 a 5 jogadores 
466,O Albergue Sangrento,1 a 4 jogadores 
467,Torres,2 a 4 jogadores 
468,Arena: The Contest,1 a 8 jogadores 
469,Fallout,1 a 4 jogadores 
470,Auztralia,1 a 4 jogadores 
471,Pélaghos,2 a 4 jogadores 
472,Goa,2 a 4 jogadores 
473,Reykholt,1 a 4 jogadores 
474,Citadels,2 a 8 jogadores 
475,Love Letter,2 a 4 jogadores 
476,Salada de Pontos,2 a 6 jogadores 
477,Dungeons & Dragons: Castle Ravenloft Board Game,1 a 5 jogadores 
478,Parade,2 a 6 jogadores 
479,Reef,2 a 4 jogadores 
480,Century: Golem Edition,2 a 5 jogadores 
481,Dogs: Card Game,2 a 5 jogadores 
482,Dead Man's Draw,2 a 4 jogadores 
483,Caçadores da Galáxia (Edição de Colecionador),2 a 4 jogadores 
484,Hero Realms,1 a 4 jogadores 
485,Airlines Europe,2 a 5 jogadores 
486,Power Grid deluxe: Europe/North America,2 a 6 jogadores 
487,Lancaster,2 a 5 jogadores 
488,Hanabi,2 a 5 jogadores 
489,Dobble: À Prova D'Água,2 a 8 jogadores 
490,Sushi Go!,2 a 5 jogadores 
491,Crokinole,2 a 4 jogadores 
492,Genial,2 a 4 jogadores 
493,Forbidden Desert,2 a 5 jogadores 
494,StarCraft: The Board Game,2 a 6 jogadores 
495,Planet Steam,2 a 5 jogadores 
496,Vela,2 a 6 jogadores 
497,Dogs,2 a 4 jogadores 
498,Neuroshima Hex! 3.0,2 a 4 jogadores 
499,Dungeon Command: Heart of Cormyr,2 a 4 jogadores 
500,Dungeon Command: Sting of Lolth,2 a 4 jogadores 
501,Nosferatu 2ª Edição,4 a 10 jogadores 
502,Dungeons & Dragons: Castle Ravenloft Board Game,2 a 4 jogadores 
503,Jórvík,2 a 5 jogadores 
504,Last Will,2 a 5 jogadores 
505,Summoner Wars: Guild Dwarves vs Cave Goblins,2 a 4 jogadores 
506,King of New York,2 a 6 jogadores 
507,The Big Book of Madness,2 a 5 jogadores 
508,De Vulgari Eloquentia: Deluxe Edition,2 a 5 jogadores 
509,Dead Men Tell No Tales,2 a 5 jogadores 
510,Hive Carbon,2 jogadores 
511,Dogs of War,3 a 5 jogadores 
512,Piratas! - 2ª Edição,2 a 6 jogadores 
513,Evolution,2 a 6 jogadores 
514,Tiny Epic Zombies,1 a 5 jogadores 
515,Archipelago,2 a 5 jogadores 
516,Hallertau,1 a 4 jogadores 
517,Honshu,2 a 5 jogadores 
518,Sentinelas do Multiverso,2 a 5 jogadores 
519,Belfort: Limited Edition,2 a 5 jogadores 
520,Hyperborea,2 a 6 jogadores 
521,Agra,1 a 4 jogadores 
522,Port Royal,2 a 5 jogadores 
523,Runebound (Third Edition),2 a 4 jogadores 
524,Ex Libris,1 a 4 jogadores 
525,Shogun,3 a 5 jogadores 
526,Optimus,1 a 4 jogadores 
527,Os Incríveis Parques de Miss Liz,1 a 5 jogadores 
528,Fief: France 1429,3 a 6 jogadores 
529,Belfort,2 a 5 jogadores 
530,The Castles of Burgundy: The Card Game,2 a 4 jogadores 
531,One Night Ultimate Werewolf,3 a 10 jogadores 
532,It’s a Wonderful World,1 a 5 jogadores 
533,A Guerra do Anel,2 a 4 jogadores 
534,Escape Plan,1 a 5 jogadores 
535,Railroad Revolution,2 a 4 jogadores 
536,Rhino Hero,2 a 5 jogadores 
537,Agricola: Family Edition,1 a 4 jogadores 
538,Shadows of Brimstone: City of the Ancients,1 a 4 jogadores 
539,Smash Up,2 a 4 jogadores 
540,Vampire: The Eternal Struggle,2 a 5 jogadores 
541,Ticket to Ride: Londres,2 a 4 jogadores 
542,Looterz: Rigor Mortis,2 a 6 jogadores 
543,Vanuatu (Second Edition),2 a 5 jogadores 
544,Blacksmith Brothers,2 a 4 jogadores 
545,Vinhos,2 a 4 jogadores 
546,CIV: Carta Impera Victoria,2 a 4 jogadores 
547,O Pequeno Príncipe : Faça um Planeta,2 a 5 jogadores 
548,Busca pelo Anel,2 a 5 jogadores 
549,Glen More,2 a 5 jogadores 
550,Cacao,2 a 4 jogadores 
551,Dwar7s: Outono,2 a 4 jogadores 
552,Game of Thrones Catan: Brotherhood of the Watch,3 a 4 jogadores 
553,Quarriors!,2 a 4 jogadores 
554,Cry Havoc,2 a 4 jogadores 
555,Steampunk Rally,2 a 8 jogadores 
556,Carson City,2 a 5 jogadores 
557,KeyForge: O Chamado De Arcontes,2 jogadores 
558,Kingsburg,2 a 5 jogadores 
559,Elysium,2 a 4 jogadores 
560,Planet,2 a 4 jogadores 
561,Evolution: Climate,2 a 6 jogadores 
562,Dragon Quest,2 a 6 jogadores 
563,Ulm,2 a 4 jogadores 
564,Mr. Jack,2 jogadores 
565,Tinco,3 a 6 jogadores 
566,Quem Foi?,3 a 6 jogadores 
567,Pôquer,2 a 10 jogadores 
568,Summoner Wars: Phoenix Elves vs Tundra Orcs,2 a 4 jogadores 
569,Tsuro,2 a 8 jogadores 
570,Sherlock Holmes Consulting Detective,1 a 8 jogadores 
571,Age of Empires III: The Age of Discovery,2 a 5 jogadores 
572,Hanamikoji,2 jogadores 
573,Capital Lux,2 a 4 jogadores 
574,Nexus Ops,2 a 4 jogadores 
575,Ricochet Robots,1 a 10 jogadores 
576,Exploradores,2 jogadores 
577,Mission: Red Planet (2ª Edição),2 a 6 jogadores 
578,Encantados,2 a 6 jogadores 
579,1846: The Race for the Midwest,2 a 5 jogadores 
580,Quissama: O império dos capoeiras,2 a 5 jogadores 
581,Blokus,1 a 4 jogadores 
582,Blueprints,2 a 4 jogadores 
583,Pan Am,2 a 4 jogadores 
584,Celestia,2 a 6 jogadores 
585,Noria,1 a 4 jogadores 
586,Kraftwagen,2 a 4 jogadores 
